"name","category"
"Graspifier Homme","Fitness"
"Graspifier Femme","Fitness"
"KMD EVO Homme","Running"
"KMD EVO Femme","Running"
"V-Trail 2.0 Homme","Trail"
"V-Trail 2.0 Femme","Trail"
"V-Train 2.0 Homme","Fitness"
"V-Train 2.0 Femme","Fitness"
"V-Trek Homme","Trail"
"V-Trek Homme","Running"
"V-Trek Femme","Trail"
"V-Trek Femme","Running"
"V-KUMO Femme","Casual"
"Spyridon EVO Homme","Trail"
"Spyridon EVO Homme","Running"
"Spyridon EVO Femme","Trail"
"Spyridon EVO Femme","Running"
"V-Lynx Homme","Casual"
"V-Lynx Femme","Casual"
"EL-X Knit Homme","Fitness"
"EL-X Knit Homme","Yoga"
"EL-X Knit Femme","Fitness"
"EL-X Knit Femme","Yoga"
"KOS Vintage Homme","Casual"
"KMD sport","Fitness"
"KMD sport","Running"
"V street","Casual"
